"NormalisedOccupation","Occupation"
"Business","corporate director,"
"Business","corporate executive"
"Business","corporate finance director"
"Business","corporate sales"
"Business","corporate secretary"
"Business","costume designer"
"Business","councellor, landlord"
"Business","credit bureau manager"
"Business","credit manager"
"Business","credit union manager"
"Business","CSR"
"Business","currency trader"
"Business","customer assistance"
"Business","customer care advisor"
"Business","customer care agent"
"Business","customer representative"
"Business","customer retention specialist"
"Business","customer sales agent"
"Business","customer service"
"Business","customer service agent"
"Business","customer service director"
"Business","customer service lead agent"
"Business","customer service man"
"Business","customer service representative"
"Business","customer services officer"
"Business","dairy farmer/business owner"
"Business","dairy manager"
"Business","dairy route salesman"
"Business","dairy store operator"
"Business","dairyman"
"Business","dealer"
"Business","department head"
"Business","department manager"
"Business","developer"
"Business","developer, promoter"
"Business","development agent NBACC"
"Business","development consultant"
"Business","director"
"Business","director - administrator"
"Business","director (Global House)"
"Business","director (group home)"
"Business","director C.F.L. Players' Association"
"Business","director general"
"Business","director general, retired"
"Business","director of administration"
"Business","director of admissions"
"Business","director of agent recruiting"
"Business","director of boards"
"Business","director of college"
"Business","director of communications"
"Business","director of continuing education"
"Business","director of corporate relations"
"Business","director of counselling"
"Business","director of education"
"Business","director of government and community relations"
"Business","director of human resources"
"Business","director of industrial development"
"Business","director of marketing"
"Business","director of nursing"
"Business","director of operations"
"Business","director of political education dept."
"Business","director of production"
"Business","director of professional services"
"Business","director of protocol"
"Business","director of recreation"
"Business","director of research"
"Business","director of St-F�licien C�gep"
"Business","director, business development"
"Business","director, carpentry training"
"Business","director, centre of natural medecine"
"Business","director, children's services"
"Business","director, data centre"
"Business","director, finance and administration"
"Business","director, government relations"
"Business","director, human resources"
"Business","director, Nova Scotia Environmental Network (NSEN)"
"Business","director, service centre"
"Business","director, strategic council"
"Business","director, supply"
"Business","director: private lobbying group"
"Business","distributor"
"Business","distributor of milk products"
"Business","distributor, salesman"
"Business","district manager"
"Business","district placement officer"
"Business","district sales manager"
"Business","district shopkeeper"
"Business","diver"
"Business","division manager, co-operative store"
"Business","drive-in cafe owner-operator"
"Business","driving school owner"
"Business","druggist"
"Business","druggist and chemist"
"Business","drugstore manager"
"Business","dry cleaner"
"Business","dry goods merchant"
"Business","eco-forestry consultant"
"Business","economic and policy consultant"
"Business","economic consultant"
"Business","economic developer"
"Business","economic development"
"Business","economic development advisor"
"Business","economic development consultant"
"Business","economic evaluator"
"Business","educational travel consultant"
"Business","electrical appraiser"
"Business","electrical contractor"
"Business","employee of CNR express"
"Business","employee relations"
"Business","employee relations manager"
"Business","employment advisor"
"Business","employment agent"
"Business","employment consultant"
"Business","employment counsellor"
"Business","employment manager"
"Business","entrepreneur"
"Business","entrepreneur - business owner/entrepreneur"
"Business","entrepreneur - health care worker"
"Business","entrepreneur (retired)"
"Business","entrepreneur, administrator"
"Business","environmental and aboriginal consultant"
"Business","environmental clerk/student"
"Business","environmental communications consultant"
"Business","environmental consultant"
"Business","environmental coordinator/senior consultant"
"Business","environmental entrepreneur"
"Business","environmental fundraiser"
"Business","environmental health & safety coordinator"
"Business","environmental home inspector"
"Business","environmental management specialist"
"Business","equity research associate"
"Business","estate agent"
"Business","estate planner"
"Business","event planner"
"Business","events coordinator"
"Business","excavating contractor"
"Business","executive"
"Business","executive (retired)"
"Business","executive counsellor"
"Business","executive manager"
"Business","executive manager - director general"
"Business","executive officer"
"Business","executive project agent"
"Business","executive secretary"
"Business","executive secretary, manager"
"Business","executive vice-president"
"Business","exporter"
"Business","exporter and merchant"
"Business","farm business consultant"
"Business","farm equipment dealer"
"Business","farm equipment sales"
"Business","farm machinery dealer"
"Business","feed dealer"
"Business","finance"
"Business","finance administrator"
"Business","finance investor"
"Business","finance manager"
"Business","finance officer"
"Business","finance vice-president"
"Business","financial (industry) consultant"
"Business","financial administrator"
"Business","financial adviser"
"Business","financial advisor"
"Business","financial agent"
"Business","financial analyst"
"Business","financial broker"
"Business","financial consultant"
"Business","financial controller"
"Business","financial counsellor"
"Business","financial director"
"Business","financial manager"
"Business","financial planner"
"Business","financial Processing"
"Business","financial secretary"
"Business","financial security adviser"
"Business","financial security advisor"
"Business","financial services"
"Business","financial services - life insurance representative"
"Business","financial services consultant"
"Business","financial services director"
"Business","financial services representative"
"Business","financial, business consultant"
"Business","financier"
"Business","financier and pensioner"
"Business","fish dealer"
"Business","fisheries executive"
"Business","floor trader (Alberta Stock Exchange)"
"Business","flour and feed dealer"
"Business","flourmill owner"
"Business","food broker"
"Business","food consultant"
"Business","food distributor"
"Business","foreign currency analyst"
